account_id,payment_id,payment_usd,payment_date
hbQ5GR1L54QtQAB,QhQfR06N8dQAO,50,2021-01-28
vsQ5GR1KF4QtQAH,Q7QfR06N8dQAO,968.07,2021-01-28
5jQ5GR1Uz4QtQAB,Q6QfR06N8dQAO,763.67,2021-01-28
hnQ5GR1O34QtQAB,Q2QfR06N8dQAO,2378.57,2021-01-28
ztQ5GR1Ha4QtQAF,Q0QfR06N8dQAO,2855.84,2021-01-28
OSQ5GR1R24QtQA3,PwQfR06N8dQAO,150,2021-01-28
ipQ5GR0dK4QtQAC,PuQfR06N8dQAO,500,2021-01-28
hGQ5GR1EI4QtQAT,PsQfR06N8dQAO,250,2021-01-28
V2Q5GR1de4QtQAI,PrQfR06N8dQAO,250,2021-01-28
HtQ5GR0mU4QtQAO,PkQfR06N8dQAO,50,2021-01-28
ljQ5GR1Vk4QtQAB,PfQfR06N8dQAO,1,2021-01-28
s1Q5GR1ek4QtQAA,PeQfR06N8dQAO,500,2021-01-28
hqQ5GR1R14QtQAF,PdQfR06N8dQAO,250,2021-01-28
S8Q5GR1RP4QtQAL,P0QfR06N8dQAO,2990.16,2021-01-28
wwQ5GR06N4QtQAC,OzQfR06N8dQAO,462.13,2021-01-28
w5Q5GR1O34QtQAF,OrQfR06N8dQAO,300,2021-01-28
2HQ5GR1Rh4QtQAV,ORQfR06N8dQA4,30,2021-01-28
6iQ5GR1O14QtQAB,OqQfR06N8dQAO,150,2021-01-28
F9Q5GR1Mr4QtQAJ,OpQfR06N8dQAO,75,2021-01-28
oiQ5GR1RP4QtQAD,OoQfR06N8dQAO,75,2021-01-28
5fQ5GR1O14QtQAB,OnQfR06N8dQAO,75,2021-01-28
OHQ5GR1O24QtQAZ,OmQfR06N8dQAO,251.5,2021-01-28
m3Q5GR12D4QtQAG,OfQfR06N8dQAO,250,2021-01-28
ytQ5GR1D84QtQAB,OeQfR06N8dQAO,250,2021-01-28
CNQ5GR1bt4QtQAY,OaQfR06N8dQAO,125,2021-01-28
ctQ5GR1TR4QtQAH,O3QfR06N8dQAO,306.72,2021-01-28
14Q5GR1GI4QtQAD,O2QfR06N8dQAO,2358.41,2021-01-28
ctQ5GR11H4QtQAC,O1QfR06N8dQAO,3415.19,2021-01-28
IRQ5GR1TU4QtQA1,NUQfR06N8dQA4,50,2021-01-28
X1Q5GR1L34QtQAN,NrQfR06N8dQAO,500,2021-01-28
HJQ5GR1YV4QtQA1,NiQfR06N8dQAO,250,2021-01-28
luQ5GR1NY4QtQAD,Q4QfR06N8dQAO,2005.22,2021-01-27
IFQ5GR1ek4QtQA2,PtQfR06N8dQAO,500,2021-01-27
1NQ5GR1O34QtQAV,PqQfR06N8dQAO,250,2021-01-27
LLQ5GR0bx4QtQA2,PoQfR06N8dQAO,125,2021-01-27
zDQ5GR1T44QtQAR,PjQfR06N8dQAO,50,2021-01-27
PaQ5GR1Z24QtQAJ,PiQfR06N8dQAO,50,2021-01-27
rmQ5GR1de4QtQAA,PgQfR06N8dQAO,30,2021-01-27
qlQ5GR0BF4QtQAH,OyQfR06N8dQAO,12083.76,2021-01-27
fHQ5GR1Yi4QtQAR,OwQfR06N8dQAO,5852.71,2021-01-27
qSQ5GR14r4QtQAU,OTQfR06N8dQA4,50,2021-01-27
tdQ5GR1de4QtQAA,OQQfR06N8dQA4,30,2021-01-27
uHQ5GR1ek4QtQAQ,OdQfR06N8dQAO,250,2021-01-27
hUQ5GR1Z24QtQAR,OcQfR06N8dQAO,250,2021-01-27
1hQ5GR0eA4QtQAG,NqQfR06N8dQAO,500,2021-01-27
4gQ5GR1L54QtQAF,NpQfR06N8dQAO,500,2021-01-27
5QQ5GR17F4QtQAW,NhQfR06N8dQAO,250,2021-01-27
DXQ5GR1Gz4QtQAZ,NgQfR06N8dQAO,250,2021-01-27
gMQ5GR19b4QtQAU,NcQfR06N8dQAO,1161.25,2021-01-27
I5Q5GR1ek4QtQAM,NbQfR06N8dQAO,100,2021-01-27
RrQ5GR1ek4QtQAM,XtQfR06N8dQAO,50,2021-01-26
iKQ5GR1Yx4QtQAR,Q5QfR06N8dQAO,745.67,2021-01-26
67Q5GR1Bg4QtQAB,Q1QfR06N8dQAO,818.52,2021-01-26
XlQ5GR1VC4QtQAL,PnQfR06N8dQAO,275,2021-01-26
lxQ5GR0zQ4QtQAC,PmQfR06N8dQAO,50,2021-01-26
d3Q5GR1VC4QtQAH,PhQfR06N8dQAO,30,2021-01-26
O7Q5GR1YP4QtQAL,P1QfR06N8dQAO,1615.63,2021-01-26
PkQ5GR1Rh4QtQAJ,OZQfR06N8dQA4,1,2021-01-26
5SQ5GR1ek4QtQAU,OWQfR06N8dQA4,50,2021-01-26
3YQ5GR1Ux4QtQAR,OVQfR06N8dQA4,50,2021-01-26
8uQ5GR1L44QtQAB,OuQfR06N8dQAO,1411.56,2021-01-26
uEQ5GR1Vm4QtQAV,OtQfR06N8dQAO,2040,2021-01-26
9CQ5GR1de4QtQAQ,OSQfR06N8dQA4,30,2021-01-26
ePQ5GR1cf4QtQAQ,OlQfR06N8dQAO,500,2021-01-26
3LQ5GR1de4QtQAQ,OkQfR06N8dQAO,250,2021-01-26
PuQ5GR1Rh4QtQAJ,OjQfR06N8dQAO,250,2021-01-26
RcQ5GR0p44QtQAI,NzQfR06N8dQAO,1527,2021-01-26
GuQ5GR15h4QtQAM,NZQfR06N8dQA4,50,2021-01-26
S6Q5GR1L44QtQAJ,NyQfR06N8dQAO,300,2021-01-26
zVQ5GR1R24QtQAR,NYQfR06N8dQA4,50,2021-01-26
EVQ5GR1TS4QtQA1,NXQfR06N8dQA4,50,2021-01-26
qFQ5GR1de4QtQAQ,NwQfR06N8dQAO,75,2021-01-26
fgQ5GR1VC4QtQAH,NvQfR06N8dQAO,75,2021-01-26
0BQ5GR1dd4QtQAU,NuQfR06N8dQAO,500,2021-01-26
ooQ5GR1R14QtQAB,NtQfR06N8dQAO,500,2021-01-26
3xQ5GR1Bf4QtQAB,NoQfR06N8dQAO,250,2021-01-26
lwQ5GR1Z24QtQAB,NnQfR06N8dQAO,250,2021-01-26
z0Q5GR1ci4QtQAA,NmQfR06N8dQAO,250,2021-01-26
OjQ5GR1de4QtQAI,NfQfR06N8dQAO,125,2021-01-26
cBQ5GR1de4QtQAU,NeQfR06N8dQAO,125,2021-01-26
yOQ5GR1Mr4QtQAV,NdQfR06N8dQAO,1100,2021-01-26
2AQ5GR0zQ4QtQAS,NaQfR06N8dQAO,50,2021-01-26
8uQ5GR0sh4QtQAA,Q3QfR06N8dQAO,685.08,2021-01-25
DmQ5GR1PV4QtQAP,PzQfR06N8dQAO,1768.68,2021-01-25
P7Q5GR1T34QtQAJ,PyQfR06N8dQAO,2948.11,2021-01-25
fdQ5GR14s4QtQAA,PxQfR06N8dQAO,1060.12,2021-01-25
iUQ5GR1L34QtQAR,PvQfR06N8dQAO,75,2021-01-25
cBQ5GR1de4QtQAU,PpQfR06N8dQAO,125,2021-01-25
6GQ5GR1db4QtQAU,OYQfR06N8dQA4,400,2021-01-25
aaQ5GR1T54QtQAF,OxQfR06N8dQAO,640.55,2021-01-25
u8Q5GR17F4QtQAG,OvQfR06N8dQAO,69.82,2021-01-25
KqQ5GR1R44QtQAN,OUQfR06N8dQA4,50,2021-01-25
q1Q5GR1WP4QtQAD,OsQfR06N8dQAO,600,2021-01-25
w6Q5GR1SZ4QtQAH,OiQfR06N8dQAO,250,2021-01-25
yuQ5GR0Qv4QtQAF,OhQfR06N8dQAO,250,2021-01-25
3sQ5GR1L54QtQAF,OgQfR06N8dQAO,250,2021-01-25
OjQ5GR1de4QtQAI,ObQfR06N8dQAO,125,2021-01-25
1TQ5GR1SC4QtQAT,O0QfR06N8dQAO,2515.09,2021-01-25
QNQ5GR1O24QtQAZ,NxQfR06N8dQAO,150,2021-01-25
9PQ5GR1Mr4QtQAV,NWQfR06N8dQA4,50,2021-01-25
alQ5GR1R34QtQAF,NsQfR06N8dQAO,500,2021-01-25
JWQ5GR1Mo4QtQA3,NlQfR06N8dQAO,250,2021-01-25
9tQ5GR1Rh4QtQAF,NkQfR06N8dQAO,250,2021-01-25
TqQ5GR11G4QtQAK,NjQfR06N8dQAO,250,2021-01-25
h2Q5GR1TR4QtQAH,QYQfR06N8dQA4,910.42,2021-01-24
k0Q5GR0t34QtQAA,QTQfR06N8dQA4,858.84,2021-01-24
TSQ5GR1R44QtQAZ,QQQfR06N8dQA4,150,2021-01-24
35Q5GR1YK4QtQAD,QMQfR06N8dQA4,500,2021-01-24
L5Q5GR1Js4QtQAN,QKQfR06N8dQA4,250,2021-01-24
pcQ5GR1TV4QtQAH,QeQfR06N8dQAO,676.13,2021-01-24
nEQ5GR1O24QtQAV,QcQfR06N8dQAO,5820.55,2021-01-24
ooQ5GR1R14QtQAB,QbQfR06N8dQAO,4134.57,2021-01-24
C8Q5GR1R34QtQAN,PZQfR06N8dQA4,2163.93,2021-01-24
jKQ5GR0Pp4QtQAV,PXQfR06N8dQA4,1959.48,2021-01-24
KVQ5GR1R24QtQA3,PTQfR06N8dQA4,3790.37,2021-01-24
a5Q5GR1Js4QtQAB,PNQfR06N8dQA4,500,2021-01-24
M1Q5GR1T34QtQAN,PMQfR06N8dQA4,500,2021-01-24
vXQ5GR1TR4QtQAX,PlQfR06N8dQAO,50,2021-01-24
wfQ5GR0k24QtQAA,PIQfR06N8dQA4,250,2021-01-24
c0Q5GR1bi4QtQAE,PBQfR06N8dQA4,125,2021-01-24
RYQ5GR1Yx4QtQA3,P9QfR06N8dQAO,50,2021-01-24
VGQ5GR1Zg4QtQAZ,P6QfR06N8dQAO,30,2021-01-24
6GQ5GR1db4QtQAU,OXQfR06N8dQA4,400,2021-01-24
BRQ5GR1Wz4QtQAZ,OLQfR06N8dQA4,20.61,2021-01-24
d4Q5GR0M74QtQAB,OEQfR06N8dQA4,250,2021-01-24
PrQ5GR07s4QtQAI,OBQfR06N8dQA4,100,2021-01-24
4bQ5GR1Vz4QtQAB,OAQfR06N8dQA4,50,2021-01-24
DNQ5GR1Mq4QtQA3,O6QfR06N8dQAO,30,2021-01-24
ksQ5GR1TT4QtQAD,NVQfR06N8dQA4,50,2021-01-24
7kQ5GR1Ao4QtQAF,QZQfR06N8dQA4,47.12,2021-01-23
LGQ5GR1Ao4QtQA3,QXQfR06N8dQA4,405.32,2021-01-23
z4Q5GR1Ao4QtQAF,QWQfR06N8dQA4,36.05,2021-01-23
3QQ5GR1Ao4QtQAV,QVQfR06N8dQA4,280.98,2021-01-23
NgQ5GR1Ao4QtQAN,QSQfR06N8dQA4,133.46,2021-01-23
evQ5GR1T54QtQAB,QRQfR06N8dQA4,8232.21,2021-01-23
Q8Q5GR1bY4QtQAO,QPQfR06N8dQA4,75,2021-01-23
4WQ5GR1T34QtQAR,QOQfR06N8dQA4,75,2021-01-23
OsQ5GR1bY4QtQAO,QNQfR06N8dQA4,75,2021-01-23
WlQ5GR1L64QtQAN,QJQfR06N8dQA4,250,2021-01-23
wUQ5GR06N4QtQAS,QIQfR06N8dQA4,250,2021-01-23
3RQ5GR1Ao4QtQAV,QgQfR06N8dQAO,135.11,2021-01-23
hxQ5GR1O24QtQAB,QdQfR06N8dQAO,114.45,2021-01-23
UbQ5GR1EI4QtQAP,QCQfR06N8dQA4,50,2021-01-23
QKQ5GR1244QtQAY,QBQfR06N8dQA4,50,2021-01-23
bCQ5GR1Be4QtQAV,QaQfR06N8dQAO,241.19,2021-01-23
D8Q5GR1Mq4QtQAJ,QAQfR06N8dQA4,50,2021-01-23
CNQ5GR1T34QtQAZ,Q9QfR06N8dQAO,30,2021-01-23
Q8Q5GR1YP4QtQAL,PYQfR06N8dQA4,1645.48,2021-01-23
GvQ5GR1Be4QtQAN,PWQfR06N8dQA4,50.39,2021-01-23
GiQ5GR1Ao4QtQAN,PVQfR06N8dQA4,245.85,2021-01-23
fkQ5GR1Wy4QtQAF,PUQfR06N8dQA4,516.06,2021-01-23
nmQ5GR1Wf4QtQAB,PSQfR06N8dQA4,2124.87,2021-01-23
7NQ5GR1bY4QtQAW,PRQfR06N8dQA4,75,2021-01-23
JGQ5GR1bY4QtQA4,PQQfR06N8dQA4,75,2021-01-23
YcQ5GR1Bf4QtQAN,PHQfR06N8dQA4,250,2021-01-23
cgQ5GR1bY4QtQAC,PGQfR06N8dQA4,250,2021-01-23
cHQ5GR0BH4QtQAX,PFQfR06N8dQA4,250,2021-01-23
p8Q5GR0t34QtQAA,PEQfR06N8dQA4,250,2021-01-23
jpQ5GR11E4QtQAG,PDQfR06N8dQA4,250,2021-01-23
A5Q5GR1Ux4QtQAN,PcQfR06N8dQAO,992.47,2021-01-23
CrQ5GR0jd4QtQAI,PCQfR06N8dQA4,250,2021-01-23
D2Q5GR1Ao4QtQAN,PaQfR06N8dQAO,12.32,2021-01-23
VUQ5GR1de4QtQA2,PAQfR06N8dQA4,125,2021-01-23
15Q5GR1bY4QtQAG,P5QfR06N8dQAO,30,2021-01-23
